,STEPHISCOLD,sentiment,cluster
0,mother expresses how my father and grandfather had multiple woman and how they were selfish yet these were men they choose to continually pursue it is what it is,5.0,1.0
1,whats the song in intro,4.0,0.0
2,you know i always liked you me i know bend over and arch that back hit bout 3 times and then im out lol,3.0,0.0
3,thank you for the truth neva stop,1.0,1.0
4,nvm i feel stupid for asking what a 304 is now,1.0,0.0
5,the moment you fall for her trap it s a wrap pastor steph,1.0,2.0
6,what s a 304 you a fool steph,5.0,2.0
7,my cousin put me on to stephiscold not gonna lie he s speaking facts you think she s not like that but you ll eventually realize that your just been stupid you lie to yourself everyday you give her power to your life everyday you have to stand on your man hood and have no expectations for the disrespect these type of girls will squeeze your energy your pockets and your time the moment she feels like you have nothing else to offer i promise she will leave and blame you and if your dumb enough to believe it you ll always will be step on and laughed at you have to accept it and move on you took an l oh well lesson learn not the end bro work on yourself,5.0,1.0
8,i ve accepted this and i m enjoying the new me,5.0,0.0
9,it hurts to know the reason you got hurt is because you re forwards,3.0,1.0
10,never ever believe anything a woman says the exact opposite of what they say is what they want,1.0,1.0
11,it pisses me off that women choose the men who are assholes toward them who ll abuse them and shit like that instead of dating a nice guy i ll never understand why some women are like that this generation of dating sucks since when did it become a bad thing to be too nice to a woman if she wants me to change ha good riddance another thing that pisses me off is the term simp who came up with that lame word anyway i bet some immature little boy,1.0,1.0
12,i wish u did videos for women cuz u for sure speak straight facts i laughed a few times watching this bc a lot of it is just true esp the part when u said after a break up the girl goes to the guy shes always lusted over cuzzzzz yea i like watching these videos to see how yall b thinking i just like learning about human psychology in general and the way the mind works you should think about doing a channel for women too we need you too,3.0,1.0
13,love you dude not in a gay way though,5.0,1.0
14,u gotta take the opposite of what they say it s the opposite game with them they can t say out loud what they really feel bc it makes them look cheap and easy,2.0,1.0
15,man g knowing how to maneuver w the game to make sure you win at all times is the best advice i could ve ever got,5.0,1.0
16,mannn you been helping me,5.0,0.0
17,this only 23,1.0,0.0
18,we need your knowledge and the reminders of what we know deep down already bro never stop,5.0,2.0
19,it s simple women think backwards that s why they like it from the back,3.0,1.0
20,because their basically just being used to attract more girls like a porsch or a fancy car,3.0,1.0
21,that may be true but a lot of times aren t women basically k wasting their life by being with toxic males,2.0,1.0
22,all u hear a lot is toxic imma grown ass man tf i look like playing emotional games i got better stuff to do,1.0,1.0
23,you ll never win then g,1.0,1.0
24,this video unlocked my brain,1.0,0.0
25,i m the guest star in the soap opera where your girl cheat on you,4.0,1.0
26,what s the name of the intro track,5.0,1.0
27,lmao you re right bro,5.0,2.0
28,me here watching this video to find red flags and never date a guy like that,1.0,0.0
29,i believe in patterns not words if it walks like a b dresses like a b attitude of a b it is a b,1.0,1.0
30,i got it 7 48,5.0,0.0
31,as of 2021 march 18 women are now admitting to liking toxicity i just i had one tell me straight up,1.0,0.0
32,they arent good ppl and they have to hide it then no,1.0,1.0
33,steph the mannn,4.0,2.0
34,no point of dating of getting in a relationship,1.0,1.0
35,what she complains about is what she love copy dat,5.0,0.0
36,cold truth from steph,1.0,2.0
37,dad girl s want alot of things and it s disgusting son love dad the fuck no shows son a picture of what female s want son,1.0,1.0
38,is true yuh cold fi real bumboclaat star,5.0,2.0
39,ive literally lost faith in females at this point,1.0,0.0
40,can anyone let me know what was the song in the start of the video,1.0,1.0
41,bro this one girl told me i know you got hoes she said as long as she is the favorite its fine,5.0,0.0
42,i m naturally toxic and i been having a chick in my rotation for 2 years she just keep coming back after i dog her out,1.0,0.0
43,i used logic on this woman and she got all up in her feelings and called me bad,1.0,0.0
44,___,3.0,0.0
45,who hurt you,1.0,1.0
46,so don t give a shit or control her i m confused,1.0,0.0
47,not giving a shit is controlling her,3.0,0.0
48,it seems like the more i treat my ex bad the more she come back i never understand that,3.0,0.0
49,shawty loves toxic men so they have something to post of social media thats why i scare off some women becuz im laid back drama free and focusing on my business that help me weed out the bad ones,4.0,1.0
50,304s are backwards lol shit i started laughing after i connected a few dots,1.0,0.0
51,i heard that girl told me all she wants is good sex multiple orgasms not acted on it though on mgtow vibes at the moment,3.0,0.0
52,a 304 is a hoe for those who struggling with that lol,4.0,0.0
53,dang man this is so crazily true,5.0,0.0
54,i love the red doorag,5.0,1.0
55,don t know how i stumbled upon this but let me tell anyone watching this and listening to this you will never understand a woman women who like toxic men have been abused by their fathers and look for validation from people who either abuse them or ignore them like their fathers stop feeling pity for urself because you can t get the 10 you want and stop obsessing over these kinds of videos first of all be clean kind and have a good personality you can get a clean kind and good woman then trust me when i say this ur not an alpha male if you even have the word alpha male in ur vocabulary,1.0,1.0
56,brah you only 22 thought you was bout 26,1.0,0.0
57,she a simp for me but i ain t simp for her bih loves me bruh,3.0,0.0
58,thats how it should be bro,3.0,2.0
59,it be like that,5.0,1.0
60,everything that you said in this video describes my last relationship smh i was such a bitch and it makes me so mad,1.0,0.0
61,when i was about your age steph i had a coworker say she just wanted me for a digging stick idk if that will ever happen again lol,1.0,0.0
62,to all the guys watching have fun with women but be careful on which one y all choose too start a family with,3.0,1.0
63,wellllllll i had a woman tell me she wanted to have fun and get fuck then talking about omg i can t believe i said that i took full advantage of it,1.0,0.0
64,check out the story of sampson from the bible,4.0,1.0
65,ey steph they always been that way from the beginning good stuff man,5.0,2.0
66,to the thing that they dew,5.0,1.0
67,this is amazing life saving content i m 40 found the red pill at 38 wish i had this advice when i was 16 but at least i can share this with my son also got your patreon,5.0,0.0
68,yo steph next time you go live bro ima call in got some good questions bro,3.0,2.0
69,it s funny getting them on camera that s not me it s my twin lol if i get cheated on and i stay that s danger bitch,3.0,0.0
70,good passion bro,4.0,2.0
71,i wanted to dislike your video because i said oh he s saying that so harshly but i can t dislike it because you are correct the man that i love with my whole heart is the man that my friends couldn t understand why i was talking to him they said he was ugly he was nerdy he was built nice but his legs are a little skinny etc etc but none of that mattered to me because i saw the king in him i saw that he was a good man not a toxic dude but a true honest good man just in the way he approached was different i loved our conversations our dates and just him in general and i m not content with him i m happy and i spend every moment trying to reciprocate that back to him but my friends are still doing the same and mad about it but they refuse to change so for the ramble but i just wanted to say you are right and i m sharing your video with them because they need to hear it,3.0,1.0
72,so your not happy with ur nice man,3.0,0.0
73,damn stephanie you cold as hell,5.0,2.0
74,i just typed 304 in my calculator and turned it upside down,1.0,0.0
75,i remember when i was younger i believed in monogamy i had this one girl she turned me out she made me drop all the girls i was talking to took me out of my flow state shit harmed me 5 6 years fk,1.0,0.0
76,for 22 years you seem very mature,2.0,0.0
77,i feel like woman are like mini versions of lilith we definitely gta stay aware and be on point,5.0,1.0
78,adams first wife people not hip that be drop that knowledge man,1.0,0.0
79,my ngga u look 29,5.0,0.0
80,real shit,1.0,0.0
81,steph when you say a chick is strap what do you mean,2.0,2.0
82,this literally happened to me last week with an old friend from high school she hit me with the i liked you for so long like bitch no tf u didn t,1.0,0.0
83,bruh i had a very attractive girl in my customer service class say if i can t control you i don t want you at the time it didn t really ring any bells but now that shit makes a lot of sense,1.0,1.0
84,all of a sudden i felt that part a lil too much,2.0,0.0
85,teach me sensei i fuck with this,5.0,0.0
86,i knew i wasn t trippin,2.0,0.0
87,what is a 304 man i m from germany,1.0,0.0
88,turn it upside down on the calculator,1.0,0.0
89,first time i ever heard the term 304,1.0,0.0
90,steph goat,4.0,2.0
91,respect steph,5.0,2.0
92,he just speaks the truth,5.0,0.0
93,for all the idiots 4 h 0 o 3 e 304 means hoe,5.0,0.0
94,da truth has been spoken,5.0,0.0
95,never trust a 304 xd,1.0,0.0
96,the mf og,5.0,0.0
97,so that they can make false accusations when it suits them this doesnt only go for toxic men though for them soft ass betas aswell you re a conveniance,3.0,1.0
98,thanks for the wisdom my g,5.0,0.0
99,truth keep going steph,1.0,2.0
100,damn this video hit the mark about a 3 weeks ago i finally smashed this girl i met 3 years ago who then went cold on me 2 months later my nice dumbass chased after her with nothing in return so i went dry on her after that everything you said is true af,1.0,0.0
101,i ve seen heard plenty of females say they don t smash on the first night so they don t seem like a hoe,3.0,1.0
102,my girl and i had our biggest fight ever followed by me fuckin the absolute life out of her she knows women want me it has a hell of an effect on the psyche,5.0,0.0
103,man just been subscribed for 3 days every vid i have watched ive learned something new thank you for exposing me for the blue pill man ive always been and doing what your doing to help turn blue man into the man they are purposed to be,5.0,1.0
104,flips 304 upside down mind blown,1.0,0.0
105,what woman say they want is oxymorons,1.0,1.0
106,she look at you like you crazy damn that hit a nurve bro,1.0,1.0
107,where you from,5.0,2.0
108,when i had a girl the amount of attention i got from other women was astronomical verses me being single,2.0,0.0
109,that beat in the intro is cold bro,2.0,2.0
110,steph i ve gone cold and never been more free thank you bro you re faithful,5.0,2.0
111,could not be more true,3.0,0.0
112,music at the intro is my track 9 9 9 on soundcloud btw if anyone else wanted to know,5.0,0.0
113,it feels like he sat me down while im eating and telling me how these females b,2.0,0.0
114,women are beautiful but takes time in energy to keep her happy but even then she still be looking for something else because she don t know what she wants for guys we have to stay on a purpose don t let these women use you or play you because there more manipulative then guys women are super complicated there not logical like my boy said they go based on feelings not logic i ve sleeped with plenty of wifes and girls in relationships in let me tell you they don t give a fuck about there dude s and half of them act like they like you to get what they can from out of you as in even a baby child support it s sad but it s true but hey always be there for the lady s but whatever you don t try to save them because they don t want to be saved hope that helps,2.0,1.0
115,ams clone he just rebranding the same content no hate tho,5.0,0.0
116,this is true i been toxic very toxic with my girl she always comes back almost as if she likes this shit the bedroom is a major factor for women i feel i give her the fuck of her life every single time rough,1.0,0.0
117,steph please do a video about will smith allowing his wife to get dug out by august alsina it s in the news right now g smfh,1.0,1.0
118,they all talk they love to complain negative attentions is better than no attention they all got daddy issues,5.0,1.0
119,because they all have an ego they want what they can t have they want social status and high money this man is right they say lies,1.0,1.0
120,steph what if you have a girl should you still have girls in your rotation,3.0,2.0
121,these 304s ain t loyal,1.0,0.0
122,aye ima start using 304,3.0,0.0
123,i read somewhere that hell is filled with more women than men i wondr why that may be hmm,1.0,1.0
124,you look like you re trying to look pretty in your thumbnail,3.0,1.0
125,steph you spoke so many facts in this video,5.0,2.0
126,who watch stephiscold and mjgetright,5.0,0.0
127,im toxic asf in a good way though,2.0,0.0
128,5 52 lmaoooo,5.0,0.0
129,speak on the jada and will situation well that s if you know about it,4.0,1.0
130,the term 304 is dumb asl easier to just say hoe why was this term created,1.0,0.0
131,fellas y all think this is something shit my g hit the patreon steph always keeps it real attracts real,1.0,2.0
132,men speak overtly and women speak covertly that s why us guys always think woman are confusing but they aren t confusing they just speak in a different language men will say it straight up how it is and women will speak in actions she hot and cold with you just means another dude entertaining her if a girl really want you she won t risk losing you if she ehh about you she ll show that if she wants to hang she will if she wants to f ck she will if she makes you wait 5 dates in for it than it ain t worth it move on,2.0,1.0
133,it s hard af to find love,3.0,1.0
134,please make a video on the topic of kids and if you see yourself having kids and how you d manage that situation,3.0,1.0
135,wish i found this channel a month ago but it s never late to learn and get better in future,3.0,0.0
136,yo steph what s your email i have a question about the program,1.0,2.0
137,they are compulsive liars you have to see them for what they are and not what you want them to be,1.0,1.0
138,they boring anyway stay on path family,1.0,1.0
139,he don t even have waves let that sink in yall,1.0,0.0
140,woman hate toxic bate male is toxic man,1.0,0.0
141,she doesn t need your love she needs your energy,5.0,0.0
142,i know a girl who actually admitted this fact to me so i don t even want to hear a bitch deny it,1.0,0.0
143,she is addicted to the chaos drama birds of a feather flock together,4.0,0.0
144,bro for the longest time watching this man i thought 304 meant 304 error found still makes sense,1.0,0.0
145,anthem stupid again tory lanez women don t want a good listener they want the baddest demon in town,1.0,1.0
146,you gotta do a video on dr dre s wife filing for divorce,1.0,0.0
147,actions speak louder than words fs,1.0,0.0
148,appreciate the game g just got out a five year fairly recently and the alpha is back it took some time but i swear i turned from purple pill to red pill the second she ended it now i got a couple baddies in rotation and need some advice more like a couple questions 1 should i be open about talking to other women one wants to be single which is coo wit me we all in the game and the other just broke up with bf but i m assuming just saying i m single is enough do you think there s a smooth way to tell em you re talking to someone else 2 how often should i text them communicate with them they re both different cases haha the single one is way older and the other is a cool friend,3.0,1.0
149,nbs bro all these girls be talkin bout good guy but be gettin bussed down by a dumper,1.0,2.0
150,bro i met a girl exactly like this sigh sometimes better to be single than married it seems,3.0,0.0
151,steph is only speaking the truth,1.0,2.0
152,steph always come with straight facts,5.0,2.0
153,knowledge is power fellas lets sit down and inform ourselves with the mind of steph,5.0,2.0
154,this video hitting,1.0,0.0
155,the provider game is completely backward if you re alpha they chase and spend money on the men they deeply lust after,1.0,1.0
156,a women actually likes when you care less about her than she cares about you this comes down to putting your value at the highest level let them put you on a pedestal,2.0,1.0
157,guys i got a question so like can we hollar at females or no we have to let them come to us,3.0,1.0
158,we all are electric magnetic beings male s are like electric n females are like magnet we push they pull,1.0,1.0
159,i guess she s attracted to toxic men s because they probably don t know how to secure their energy n they give it out freely other than men s who on semen retention correct me fam peace bro great knowledge n info,3.0,1.0
160,i be one of these toxic men lol and they always come back even years later lol i m in bed with a chick from 5 years ago rn and i ain t hit her up lol,1.0,0.0
161,much respect bro actions speak louder than words,5.0,2.0
162,work on yourself my niggas oh and my fellas,5.0,0.0
163,growing up with a single mother is hard now i got ams and steph i see the world differently it s like being 50 years old and just learning how to read a book,3.0,1.0
164,fax women loves toxic just as much as they love drama,5.0,1.0
165,took me a while to learn this shit cause i grew up with a lot of sisters and female friends so you know how that goes now i m starting to realize late but better late than never,2.0,1.0
166,same but once you go it your life changes 360,3.0,1.0
167,same man i just read the rational male opened my mf eyes man lowkey got me down about finding out the things enforced by sisters women in my life were bs,1.0,0.0
168,if you are young and alpha you have the first part of life figured out you are probably wondering if the wifey material women with the gawk gawk combo attachment exist the answer is yes but its very rare that one awkward shy girl in the corner of your classroom or the fat girl who applied herself years later is that women in the long run the beta male either ends up with no one or the highschool baddie if he has money don t worry these thots will have been run through 100x over gain weight and end up draining their beta male providers of their non sexual energy money and cheat on them,2.0,1.0
169,one sure why to get them is to act like don t even exist especially if you got looks girls can t stand being ignored it drives them crazy,1.0,1.0
170,bro i experienced it 1st hand they can not be honest neeeeverrrr,2.0,1.0
171,theres this girl i follow her feed is nothing but those relationship goaly word porn memes,1.0,0.0
172,is it ok to get my girls password to her social media,3.0,0.0
173,if she ok with it but honestly i would t do that unless u feel something is off,3.0,0.0
174,question when u say you shouldn t believe what these women say does that go for the freaky talk that they give you via text or on the phone too a chick views me alpha and is sexually attracted to me from what i can tell we plannin to link in july,1.0,1.0
175,blue pill bob uhm stephon what s a 304 stephiscold put it on your calculator and turn it upside down,1.0,0.0
176,you speaking hella facts you be killing me,1.0,0.0
177,at work watching this like a fiend,5.0,0.0
178,just be you you dont have to play games and if shes real like 100 she s not going to play the games its simple its either a person likes you for you or they don t and another thing stop chasing and replacing and be wise because if you knew that the future wasn t promised you ll think different men don t have a biological clock but you need to be careful waiting time because it s something you can t get back,1.0,1.0
179,steph is cold period nothing but facts,3.0,2.0
180,remember fellas never listen to the fish listen to the fisherman,1.0,1.0
181,you like hajime no ippo too,5.0,1.0
182,we re the fisherman finding the right fish in the sea unfortunately there s no right fish it s just you get a fish eat it get another one unless the loyal rare fishes,2.0,1.0
183,she post that she want a different type of dude to try to get the dude thats really digging her out in his feelings meanwhile homie still digging her out,2.0,0.0
184,i literally will waste a chick time because i know they lie and are low key toxic and that s in the beginning,1.0,1.0
185,honestly big bro i thought you were older closer to 30s range probably the beard and the way you conduct yourself but i just turned 20 maybe its my ethnicity but now that i think of it not cause i feel beta or some ive been peeping vids for a while you re right in most cases to me my self i feel baby faced im not sure if you covered that but aside from working out and conducting yourself alpha is there any way to counter that or is that just some id need to work around i already got a clean whip and i got a lil cheese but i dont be flashy with it cause loudest niqqa in the room not the toughest id say i look halfway decent fucked enough to kno i wanna play them hoes that aint give me the time a day,3.0,1.0
186,i have a question please women always say to other women don t act too available act like you re always out and busy but i m a super homebody wayyy before the quarantine i m work than home and i m always home on the weekends is that a bad look should i act like i go out to a man thank you,1.0,1.0
187,i know a girl that s a homebody and 50 niggas know where she live,5.0,0.0
188,sarabi motley i really am i homebody a lot of women are homebodys i hate clubs always have but thanks for the reply,5.0,1.0
189,no just tell him you re a homebody i m pretty sure he ll actually value you more are you really a homebody nobody knows on this channel he really exposes female nature and characteristics so you might wanna go on asha c page,5.0,1.0
190,love you g,5.0,1.0
191,your poster is cold,1.0,2.0
192,i m playing obv when i say this where the girls that wamted to compare hand sizes luv the vid steph,3.0,2.0
193,this guy cracking more codes than jumanji,1.0,0.0
194,trust the actions not there words fellas,1.0,0.0
195,bro you were really in your bag on this one another one of your coldest videos gospel,1.0,1.0
196,man i m so blessed that your content popped up on my recommended feed i needed to hear shit like this,5.0,0.0
197,females say they want many things but when it comes to nice guys the majority of females aren t really attracted to them even tho they say that s what they want my ex went back with her ex because i was emotional clingy but that s basically the nice guys way of treating a female and reacting to her bad input all this girl ever wanted in reality was some toxic guy because her ex was like that and she also only wanted sex and attention from guys she never wanted me for being nice she only saw me as a ego booster and validator and sex toy she liked the way i treated her like that so when she went back with her ex she wanted to be friends cuz she still expected the same tampon use of me towards her she knew she had me emotionally trapped so her only way of making herself feel better of leaving me for another dude was keeping me close cus then that makes her think she did nothing wrong and she only felt bad about what she did but never regretted it she posts videos on her story of nice relationships and cute shit like that but what she wants is completely different she gives herself lies to believe in also so other dudes think that s what she wants and she gets to get hit up by other guys in her rotation she literally told me guys are only tools for her like sprinkles on a sunday,2.0,1.0
198,i lowkey hate females from my generation,1.0,0.0
199,know the ledge,5.0,0.0
200,steph bro you re goated g,3.0,2.0
201,i ve seen it happen to me at work one girl that didn t want me back then saw this other girl that was flirting with me and all of a sudden she wanted to get to know me lol,1.0,0.0
202,women love that because your attention has diverted to the girl who was flirting with you,5.0,1.0
203,a girl argues with me all the time even when i know i m in the wrong yet she always comes back to me and says sorry daddy lol,5.0,0.0
204,that s cause she s cheating on you lol,1.0,0.0
205,basically they want to try and change them knowing it wont happen but stay anyway while ignoring someone on there shit handling business,2.0,1.0
206,uhh def not simpatico lol,1.0,0.0
207,its truly sad smh these women wonder why their lives are so miserable and no one in a position of power takes them serious,1.0,1.0
208,if you re tired of the dysfunctional women that you re related to drop a like here guys this one is for you,5.0,1.0
209,3 58 that s exactly what they do remember this girl i went to school with she would paint a picture like she was a girl but when i hung out with her it was the complete opposite,5.0,1.0
210,i swear i was just scrolling in fb and saw these females say i like a lil toxic but u gone love it here it the bad bitches say this na,5.0,1.0
211,what y all fellas think about when females say they like boys who don t post on social media or don t have that much followers,1.0,1.0
212,miamislugger i only use social media to post my music,1.0,0.0
213,probably true a lot of young guys entertain ig and fb like a girl would do stories posts while a guy not using is probably not giving a flying fuck and focused on his purpose debate opened fellas let s hear it,2.0,1.0
214,check her phone you will see everything you need to know,5.0,1.0
215,they delete apps and reinstall them when you aint around seen it,1.0,1.0
216,factual claims,3.0,0.0
217,you only 22 i thought you was like 26 or 27,2.0,1.0
218,this guy 22 and im 21 and i dont think i ll look like him even by end of this year,5.0,0.0
219,rorisang pitswane it has to,3.0,0.0
220,they love toxic shit that s why they love watching shows like love n hip hop basketball wives,1.0,1.0
221,basically the truth is the opposite of what she tells you,3.0,1.0
222,4 40 4 44 is facts my ex was exactly like that,5.0,0.0
223,this some og stephiscold,3.0,0.0
224,fellas just focus on yourself is that simple,5.0,0.0
225,toxic guys are winning and there s no way around it,1.0,1.0
226,yeah maybe you guys should date eachother,1.0,0.0
227,they love that toxic shit tho,5.0,1.0
228,my guy back at it keep rising fam,1.0,0.0
229,their body language speaks louder than words that are coming out of their mouth,2.0,1.0
230,always remember fellas she s not yours it s just your turn,1.0,0.0
231,going crazy bro i see you man i see you for real,5.0,2.0
232,this hurts bruh i know it s true i m crying dog,1.0,0.0
233,he is speak the truth right now,5.0,2.0
234,clicked faster than a beta at a woman s disposal,1.0,0.0
235,facts bro,5.0,2.0
236,i ll never stop watching ams and stephiscold endless knowledge sometimes you don t retain all the information the first time so you gotta keep watching,5.0,1.0
237,i listened to what woman says like for real and saw them as equal person to me jeez then i took the red pill and woke up i look back and can t believe how stupid and blind i was back then,1.0,1.0
238,dang bro i remember being nervous and said to myself they re just female turns out the word female was a whole story with female nature and sh woke me up for real i m having some second thoughts like red pill rage or something but i m still learning and improving,4.0,1.0
239,a fish will never teach you how to catch fish take what women say with a grain of salt they backwards,1.0,1.0
240,do the opposite of they say,3.0,1.0
241,i ve had a female tell me that before bro she was giving me choosing signals so i approached her and said what s up and she said that she was starring at me because she wanted to snatch my soul went to her crib and got my soul snatched 3 days later,1.0,0.0
242,be solitude,5.0,0.0
243,yo steff i really believe this and nobody else says this tying into what you said about women not counting the other 30 guys and only counting 3 or 4 or whatever women like how people push out forget trauma i swear genuinely forget push it out their minds and really truly think like instead of the actual 80 guys they think its like 15 or something some real weird sociopathic kinda stuff these women be doing maybe something to do with how they act all innocent on the outside know that society family other women etc likes to say insinuate women should act appear to act a certain way so they all jefferey dahmer sociopath style push it out their minds like it never happened and they call us pigs f n whack jobs,1.0,1.0
244,word they lies become thier truths,5.0,1.0
245,keep it cold they always going to be backwards,4.0,1.0
246,in louisiana we call 304s 504s,3.0,0.0
247,in chinatown we call them 604s,5.0,0.0
248,eating my ramen to this,5.0,0.0
249,do yo call them out when they say they ain t have sex in months,1.0,1.0
250,cold g,2.0,2.0
251,itz yo boy steff,5.0,0.0
252,intro song,4.0,0.0
253,like lil durk said don t ever put your all into a bitch cause she gon leave,1.0,0.0
254,it seems like most of the stuff you teach about women go hand and hand with building a business to a certain degree,3.0,1.0
255,what do you use if you are doing a voice over for video,5.0,1.0
256,women dont stop liking toxic men until they run through about 5 of them,1.0,1.0
257,i see women past 45 that stay wanting toxic men they ll never stop wanting them it s in women s nature to always respect drama dudes,5.0,1.0
258,how you haven t blown up and gone mainstream is beyond me hands down the best advice for men i ve ever heard,5.0,0.0
259,aye a broke nigga just got a free ass book thanks steph,1.0,2.0
260,what s your thoughts on dr dre getting divorced,5.0,0.0
261,this why meeting girls in person first i s better cause you get to know who they really are dudes need to stop using social media to meet girls you can t believe half the stuff they post,1.0,1.0
262,1 2 more like 99,1.0,0.0
263,dr dre divorced his wife and she getting 400 milly,1.0,0.0
264,ik y all ass didn t really turn yo phone upside down to look at the 3 or 4,1.0,0.0
265,there are living in la la land man alternate reality,3.0,0.0
266,alternate reality word,3.0,0.0
267,if she s not giving you anything don t stick around for her dry words because the longer you wait the more she sees you for the simp that you are they are such savages they will text you good morning after they just got dug out by a dude who didn t even kissed her goodbye,1.0,1.0
268,but what s wrong with that i would appreciate a good morning here and there lol,3.0,0.0
269,i got this bih in my rotation shes straight up always saying she like me i make her shy she s submissive but she real flakey at times so i hold my ground she a 10 10 colombian i don t get this bih,1.0,0.0
270,she probably testing you to see if your gonna get attached be careful brotha just keep firm,3.0,0.0
271,hahaaaaaa i totally hear ya bruh,1.0,0.0
